date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:24	142302/142302	---M-Z	200	added ('OK')	text/html	etag:W/%2242bf6db360e97fd54fb314b62224d3e1%22	https://petshop.vn/nemmeosao-knbbms	D:/New%20folder/ShopPet/petshop.vn/nemmeosao-knbbms.html	(from https://petshop.vn/)
00:14:26	151182/151182	---M-Z	200	added ('OK')	text/html	etag:W/%2286d11e56c2582c7c14ec6c6984f5afaa%22	https://petshop.vn/nemmeotim-knbbmt	D:/New%20folder/ShopPet/petshop.vn/nemmeotim-knbbmt.html	(from https://petshop.vn/)
00:14:27	140029/140029	---M-Z	200	added ('OK')	text/html	etag:W/%222bfdc749054f48d30f5b11eceb481a57%22	https://petshop.vn/tuideocheo-lmcbg011	D:/New%20folder/ShopPet/petshop.vn/tuideocheo-lmcbg011.html	(from https://petshop.vn/)
00:14:29	126074/126074	---M-Z	200	added ('OK')	text/html	etag:W/%22bc8affef443d78d8d6a8775f125283df%22	https://petshop.vn/goi-om-mickey-57	D:/New%20folder/ShopPet/petshop.vn/goi-om-mickey-57.html	(from https://petshop.vn/)
00:14:30	142324/142324	---M-Z	200	added ('OK')	text/html	etag:W/%22babf935026402a3123304493177a9c3f%22	https://petshop.vn/khautrangtrum-lmz025	D:/New%20folder/ShopPet/petshop.vn/khautrangtrum-lmz025.html	(from https://petshop.vn/)
00:14:31	126026/126026	---M-Z	200	added ('OK')	text/html	etag:W/%2254bf03a7d6f085e61a387dc0f37da22d%22	https://petshop.vn/goi-om-doremon-9	D:/New%20folder/ShopPet/petshop.vn/goi-om-doremon-9.html	(from https://petshop.vn/)
00:14:33	126029/126029	---M-Z	200	added ('OK')	text/html	etag:W/%224152ffa2d0f82b2fa2a20d6763abba60%22	https://petshop.vn/goi-om-doremon-11	D:/New%20folder/ShopPet/petshop.vn/goi-om-doremon-11.html	(from https://petshop.vn/)
00:14:34	151540/151540	---M-Z	200	added ('OK')	text/html	etag:W/%22ac460ed4957f35217da21e4fb2e0203d%22	https://petshop.vn/frontpage	D:/New%20folder/ShopPet/petshop.vn/frontpage.html	(from https://petshop.vn/)
00:14:35	120530/120530	---M-Z	200	added ('OK')	text/html	etag:W/%2218646fc8e23ada97a073056c596b75a5%22	https://petshop.vn/tui-deo-cheo-pet-shop-lmcbg-012	D:/New%20folder/ShopPet/petshop.vn/tui-deo-cheo-pet-shop-lmcbg-012.html	(from https://petshop.vn/)
00:14:36	115054/115054	---M-Z	200	added ('OK')	text/html	etag:W/%226bcd41d185070b03414940a2e277fe3c%22	https://petshop.vn/vo-goi-cuc-xuong-48	D:/New%20folder/ShopPet/petshop.vn/vo-goi-cuc-xuong-48.html	(from https://petshop.vn/)
00:14:38	117851/117851	---M-Z	200	added ('OK')	text/html	etag:W/%2235cb7ee85a6325556755da1b20555401%22	https://petshop.vn/bo-chan-ga-goi-boc-hoa-kiki-kaikai-32	D:/New%20folder/ShopPet/petshop.vn/bo-chan-ga-goi-boc-hoa-kiki-kaikai-32.html	(from https://petshop.vn/)
00:14:39	125693/125693	---M-Z	200	added ('OK')	text/html	etag:W/%22c06668ed4f7eccabf21d256c7f875c7c%22	https://petshop.vn/bo-chan-ga-goi-boc-hoa-buom-tinh-yeu-46	D:/New%20folder/ShopPet/petshop.vn/bo-chan-ga-goi-boc-hoa-buom-tinh-yeu-46.html	(from https://petshop.vn/)
00:14:41	139019/139019	---M-Z	200	added ('OK')	text/html	etag:W/%22e223a78ec4c37c0c7c920ddbf3db884b%22	https://petshop.vn/bo-chan-ga-goi-boc-gau-grizzly-17	D:/New%20folder/ShopPet/petshop.vn/bo-chan-ga-goi-boc-gau-grizzly-17.html	(from https://petshop.vn/)
